Index Joint1 Joint2 Joint3 Joint4 Joint5 Joint6
0 0.0 -1.5707 0.0 -1.5707 -1.5707 -1.5707
1 -0.0006673776981413824 -1.5698232258549327 0.01800306961805558 -1.562081276074729 -1.575165090171633 -1.5667252848107383
2 -0.0013409264043174123 -1.568947374651666 0.03608283784128135 -1.5534592613848093 -1.5807109859185928 -1.5613900101394178
3 -0.0020193442838426943 -1.5680724370958672 0.0542381102164024 -1.544834093872598 -1.586119063209025 -1.555906958906999
4 -0.0027030192165023847 -1.5671984879176137 0.07246594495916725 -1.536205966738538 -1.5914305953554004 -1.5502209275091863
5 -0.003392301173495419 -1.5663255962455296 0.09076337836734542 -1.5275750255329903 -1.5966486907354673 -1.5443146066973872
6 -0.004087556860639802 -1.5654538281042358 0.1091273648859977 -1.518941383950935 -1.60176948216687 -1.5381771001161761
7 -0.0047891820214704395 -1.564583246706539 0.12755476035383786 -1.5103051242710452 -1.6067866472593968 -1.5317993113469135
8 -0.005497607946002831 -1.5637139124303927 0.1460423101507629 -1.5016662962362899 -1.6116925965302888 -1.525172687492905
9 -0.006213306783868385 -1.5628458827186957 0.16458663728167194 -1.493024915769887 -1.6164788782127504 -1.518288748054544
10 -0.006936796787057997 -1.5619792119610048 0.1831842289740874 -1.4843809638718402 -1.6211363302050845 -1.5111388629004312
11 -0.007668647893950888 -1.5611139513802048 0.2018314210414485 -1.4757343858782312 -1.6256551312638148 -1.5037141248802304
12 -0.008409487870103862 -1.5602501489382168 0.22052437939147876 -1.4670850912503168 -1.6300248046347783 -1.4960052624656304
13 -0.009160009161207442 -1.559387849273351 0.23925907802888885 -1.4584329540867957 -1.6342341953331168 -1.4880025700808415
14 -0.009920976598637738 -1.5585270936833922 0.25803127280253324 -1.449777814600078 -1.6382714302423502 -1.4796958459194682
15 -0.010693236101107582 -1.5576679201717538 0.2768364700005797 -1.44111948186341 -1.64212386510352 -1.4710743321802664
16 -0.011477724527604344 -1.5568103635788646 0.295669888705185 -1.432457738222968 -1.6457780200856313 -1.4621266550714098
17 -0.012275480853215016 -1.5559544558275518 0.3145264155747875 -1.4237923458828836 -1.6492195044224411 -1.452840763215609
18 -0.013087658858506117 -1.55510022631999 0.3334005504172569 -1.4151230563192008 -1.6524329299496252 -1.443203863892972
19 -0.013915541543133928 -1.5542477025354122 0.3522863405372374 -1.4064496233710442 -1.6554018130202575 -1.4332023571927308
20 -0.014760557493194224 -1.5533969108930827 0.37117730136944854 -1.397771821106924 -1.6581084641092112 -1.4228217687806193
21 -0.015624299446328323 -1.5525478779651125 0.3900663203271088 -1.3890894678878078 -1.6605338644090875 -1.4120466827483142
22 -0.016508545303855787 -1.5517006321499625 0.4089455400798261 -1.3804024584674188 -1.6626575288899679 -1.4008606770090652
23 -0.0174152818274866 -1.550855205951695 0.42780621660743584 -1.3717108065099848 -1.6644573557016331 -1.3892462650687667
24 -0.018346731217532684 -1.5500116390542877 0.4466385463394548 -1.3630147005968718 -1.6659094625435047 -1.3771848498959978
25 -0.019305380681772517 -1.5491699824370337 0.4654314554819671 -1.3543145776699737 -1.666988011875014 -1.3646566982471942
26 -0.02029401494189151 -1.5483303038485907 0.4841723432827891 -1.345611218954298 -1.6676650288241568 -1.3516409474441176
27 -0.021315751347499072 -1.5474926950455041 0.5028467695782526 -1.336905874737627 -1.6679102187131716 -1.3381156615890613
28 -0.022374076818319894 -1.5466572813060337 0.5214380756947112 -1.3282004259552338 -1.6676907957272544 -1.3240579609409449
29 -0.023472885132934922 -1.545824233847815 0.5399269270255896 -1.3194975922621721 -1.6669713410309746 -1.309444257090091
30 -0.024616512021027267 -1.5449937858958758 0.5582907660626385 -1.310801197978352 -1.665713718372505 -1.2942506380090883
31 -0.02580976396532326 -1.544166253238008 0.5765031675149759 -1.302116508536693 -1.663877088790393 -1.2784534610578369
32 -0.027057934442349767 -1.5433420601130932 0.5945330943265397 -1.2934506500365113 -1.6614180842274584 -1.2620302278502815
33 -0.028366798432081092 -1.5425217711080794 0.6123440678283258 -1.2848131217738283 -1.6582912228456952 -1.2449608302342883
34 -0.029742572456936713 -1.5417061292336651 0.6298932910043546 -1.2762164038900923 -1.6544496752407258 -1.2272292662999917
35 -0.031191823566547424 -1.540896099277629 0.6471308057797289 -1.2676766462302878 -1.6498465159138336 -1.208825919472108
36 -0.032721307619024836 -1.5400929136137578 0.6639988274998168 -1.2592143960669053 -1.6444366078156945 -1.1897504561373715
37 -0.03433771701145392 -1.539298114628345 0.6804314819637507 -1.2508552780893307 -1.6381792505290746 -1.17001530527711
38 -0.036047324024288424 -1.5385135838461859 0.6963552604194461 -1.2426304805475425 -1.6310416464224868 -1.1496495133953477
39 -0.03785552225555728 -1.5377415434225807 0.7116905722954278 -1.2345768372042376 -1.6230030724528055 -1.1287025103943429
40 -0.03976629798597485 -1.5369845128376884 0.7263547527097973 -1.2267362531738075 -1.614059373468967 -1.107247011672963
41 -0.04178170302915325 -1.5362452055949831 0.7402666937654141 -1.219154249306225 -1.6042270535714662 -1.0853800309628816
42 -0.04390143793339939 -1.5355263608456327 0.7533528667467173 -1.2118775420512524 -1.593545960648216 -1.0632209802027826
43 -0.04612266663209592 -1.5348305237465678 0.7655539461948165 -1.2049508428867468 -1.582079537184826 -1.0409062800599633
44 -0.04844014914878088 -1.534159810586678 0.7768307572533708 -1.1984133784276016 -1.5699120185518065 -1.0185808164880719
